Region,TotalOwner,TotalRenter,MarriedOwner,MarriedRenter,MaleOwner,MaleRenter,FemaleOwner,FemaleRenter,NonfamilyOwner,NonfamilyRenter
Alabama,69.2,30.8,85,15,62.2,37.8,50.4,49.6,56,44
Alaska,64.8,35.2,77,23,57.2,42.8,51.6,48.4,52.3,47.7
Arizona,65.3,34.7,79.9,20.1,54.6,45.4,48.2,51.8,53.1,46.9
Arkansas,65.8,34.2,81.7,18.3,55.9,44.1,45.3,54.7,52.6,47.4
California,55.3,44.7,68.3,31.7,46,54,41.5,58.5,42.1,57.9
Colorado,66.2,33.8,81.4,18.6,56.4,43.6,51.9,48.1,50.1,49.9
Connecticut,66.1,33.9,83.9,16.1,55.9,44.1,47,53,49.8,50.2
Delaware,71.4,28.6,86.2,13.8,64.8,35.2,54.9,45.1,57.8,42.2
District of Columbia,42.5,57.5,66.6,33.4,44,56,33.9,66.1,33.5,66.5
Florida,66.2,33.8,78.9,21.1,53.7,46.3,49.5,50.5,57.1,42.9
Georgia,64,36,80.5,19.5,54.2,45.8,45.3,54.7,50.4,49.6
Hawaii,60.3,39.7,68.6,31.4,55.7,44.3,53.4,46.6,49.9,50.1
Idaho,70.8,29.2,82.9,17.1,60.5,39.5,53.7,46.3,56.1,43.9
Illinois,66.3,33.7,83.7,16.3,58.4,41.6,48.5,51.5,50.5,49.5
Indiana,69.5,30.5,86.2,13.8,61.6,38.4,50.6,49.4,54,46
Iowa,71.2,28.8,88,12,64.8,35.2,51.6,48.4,54.3,45.7
Kansas,66.2,33.8,83.5,16.5,57.7,42.3,46.3,53.7,48.2,51.8
Kentucky,67.6,32.4,83,17,58.7,41.3,47.8,52.2,54.5,45.5
Louisiana,66.6,33.4,85,15,59.7,40.3,48.7,51.3,53.3,46.7
Maine,72.9,27.1,88.7,11.3,68.6,31.4,57.7,42.3,57,43
Maryland,67.1,32.9,82.7,17.3,59,41,52.1,47.9,52.3,47.7
Massachusetts,62.5,37.5,81.6,18.4,55.6,44.4,45.7,54.3,44.5,55.5
Michigan,71.7,28.3,88.1,11.9,66.6,33.4,54.3,45.7,57,43
Minnesota,71.9,28.1,88.8,11.2,67.5,32.5,53.7,46.3,53.6,46.4
Mississippi,68.8,31.2,84.6,15.4,61.9,38.1,50,50,58.2,41.8
Missouri,67.1,32.9,84.4,15.6,58.2,41.8,48,52,51.5,48.5
Montana,68.5,31.5,83.5,16.5,57.7,42.3,53.7,46.3,53.6,46.4
Nebraska,66.2,33.8,84.3,15.7,53.9,46.1,46.7,53.3,47.7,52.3
Nevada,57.1,42.9,72,28,48.9,51.1,41.2,58.8,45.8,54.2
New Hampshire,71.2,28.8,86.7,13.3,63.4,36.6,55,45,52.9,47.1
New Jersey,64,36,78.7,21.3,51.3,48.7,45.8,54.2,49.4,50.6
New Mexico,68,32,82.4,17.6,61.8,38.2,54.7,45.3,57.3,42.7
New York,54.1,45.9,72.1,27.9,47.7,52.3,38.3,61.7,39.7,60.3
North Carolina,65.7,34.3,81.8,18.2,54.8,45.2,45.9,54.1,52.4,47.6
North Dakota,62.5,37.5,82.7,17.3,55.3,44.7,46.7,53.3,42.7,57.3
Ohio,66.3,33.7,85.2,14.8,57.7,42.3,45.2,54.8,51.4,48.6
Oklahoma,66.1,33.9,81.6,18.4,57,43,46.5,53.5,52.8,47.2
Oregon,62.8,37.2,79,21,52.7,47.3,47.3,52.7,47,53
Pennsylvania,69,31,86.3,13.7,63.1,36.9,52.2,47.8,52.5,47.5
Rhode Island,61.6,38.4,81.2,18.8,57,43,44.3,55.7,45,55
South Carolina,70.1,29.9,85.2,14.8,59.4,40.6,52,48,58.3,41.7
South Dakota,68,32,85.9,14.1,60.4,39.6,47.8,52.2,49.9,50.1
Tennessee,66.5,33.5,82.7,17.3,57.1,42.9,46.9,53.1,52.5,47.5
Texas,62.3,37.7,78.1,21.9,53,47,47.1,52.9,44.8,55.2
Utah,70.5,29.5,81,19,56.7,43.3,55.8,44.2,53.2,46.8
Vermont,71.3,28.7,88.1,11.9,63.3,36.7,57.2,42.8,55.4,44.6
Virginia,66.7,33.3,81.2,18.8,57.9,42.1,48.5,51.5,52.6,47.4
Washington,63.3,36.7,79,21,53.3,46.7,48.8,51.2,46.2,53.8
West Virginia,73.7,26.3,87.3,12.7,64.9,35.1,56.1,43.9,61.7,38.3
Wisconsin,67.1,32.9,86.7,13.3,56.2,43.8,44,56,49.3,50.7
Wyoming,71,29,84.5,15.5,63.2,36.8,55.6,44.4,55.8,44.2
Puerto Rico,67.8,32.2,82.8,17.2,59.3,40.7,55.4,44.6,61.2,38.8
"Aberdeen, SD",67.1,32.9,89.1,10.9,60.1,39.9,48.4,51.6,44.5,55.5
"Aberdeen, WA",68.8,31.2,83.8,16.2,55.9,44.1,49.4,50.6,56,44
"Abilene, TX",62.4,37.6,76.9,23.1,47.5,52.5,46.2,53.8,48.5,51.5
"Ada, OK",65.2,34.8,84.8,15.2,37.2,62.8,46.9,53.1,49,51
"Adrian, MI",77.8,22.2,89.9,10.1,71.8,28.2,58.2,41.8,65.9,34.1
"Aguadilla-Isabela, PR",64.9,35.1,79.9,20.1,55.2,44.8,51.3,48.7,55.2,44.8
"Akron, OH",67.3,32.7,86.4,13.6,59.6,40.4,47.2,52.8,52.6,47.4
